"filename", "language", "PostCSS", "JavaScript", "comment", "blank", "total"
"d:\PROJECTS\full stack\E-Com\admin\app\api\auth\[...nextauth]\route.js", "JavaScript", 0, 12, 0, 2, 14
"d:\PROJECTS\full stack\E-Com\admin\app\api\categories\route.js", "JavaScript", 0, 31, 2, 5, 38
"d:\PROJECTS\full stack\E-Com\admin\app\api\products\route.js", "JavaScript", 0, 56, 2, 6, 64
"d:\PROJECTS\full stack\E-Com\admin\app\api\upload\route.js", "JavaScript", 0, 50, 1, 7, 58
"d:\PROJECTS\full stack\E-Com\admin\app\categories\page.js", "JavaScript", 0, 181, 1, 15, 197
"d:\PROJECTS\full stack\E-Com\admin\app\components\DataContext.js", "JavaScript", 0, 14, 0, 5, 19
"d:\PROJECTS\full stack\E-Com\admin\app\components\Navbar.js", "JavaScript", 0, 54, 1, 3, 58
"d:\PROJECTS\full stack\E-Com\admin\app\components\ProductForm.js", "JavaScript", 0, 216, 4, 13, 233
"d:\PROJECTS\full stack\E-Com\admin\app\components\SessionProvider.js", "JavaScript", 0, 3, 0, 0, 3
"d:\PROJECTS\full stack\E-Com\admin\app\components\layout.js", "JavaScript", 0, 31, 0, 2, 33
"d:\PROJECTS\full stack\E-Com\admin\app\components\useSession.js", "JavaScript", 0, 3, 0, 0, 3
"d:\PROJECTS\full stack\E-Com\admin\app\globals.css", "PostCSS", 57, 0, 0, 6, 63
"d:\PROJECTS\full stack\E-Com\admin\app\layout.js", "JavaScript", 0, 22, 0, 3, 25
"d:\PROJECTS\full stack\E-Com\admin\app\orders\page.js", "JavaScript", 0, 9, 0, 2, 11
"d:\PROJECTS\full stack\E-Com\admin\app\page.js", "JavaScript", 0, 28, 0, 3, 31
"d:\PROJECTS\full stack\E-Com\admin\app\products\delete\[...id]\page.js", "JavaScript", 0, 44, 0, 1, 45
"d:\PROJECTS\full stack\E-Com\admin\app\products\edit\[...id]\page.js", "JavaScript", 0, 27, 1, 1, 29
"d:\PROJECTS\full stack\E-Com\admin\app\products\new\page.js", "JavaScript", 0, 10, 0, 1, 11
"d:\PROJECTS\full stack\E-Com\admin\app\products\page.js", "JavaScript", 0, 53, 0, 2, 55
"d:\PROJECTS\full stack\E-Com\admin\app\settings\page.js", "JavaScript", 0, 9, 0, 2, 11
"Total", "-", 57, 853, 12, 79, 1001
